text,label
הלוואי שתחלה בסרטן,1
עוף לי מהעיניים,1
יא אפס,1
אני מרגיש עייף אחרי יום ארוך,0
כוסאמק על הבוקר,1
אני שונא אנשים טיפשים כמוך,1
שיהיה לך יום טוב,0
אני אוהב ת את המשפחה שלי מאוד,0
טוב לראות אותך,0
הילדה הזאת כל כך חכמה,0
אני אזיין אותך,1
יא זונה,1
אתה חתיכת אפס עלוב,1
איך אתה מעז לדבר אליי ככה יא חתיכת כלום?,1
יא חתיכת מפגר,1
אמא שלך בטח מתביישת בך,1
מזג האוויר סוער בחוץ,0
איזה כיף לטייל בטבע,0
יאללה ביי,0
הקפה של הבוקר הוא החלק הכי טוב ביום,0
אני אגיע בקרוב,0
אני הולך למכון כושר,0
אני מקווה שלא תתעורר מחר בבוקר,1
הספר הזה שינה את חיי,0
הלוואי שידרסו אותך,1
אתה אדם אדיב,0
"אתה בטח גאה בעצמך, אה יא אפס?",1
הפגישה הייתה פרודוקטיבית,0
מה התוכניות שלך לסוף השבוע?,0
יש לי רעיון מצוין,0
המסעדה החדשה בעיר מומלצת,0
הוא בחור ממש נחמד,0
הלוואי שתמות.,1
הוא זמר מוכשר מאוד,0
אתה סתם עוד זבל בעולם,1
הוא פשוט בן זונה,1
"היא נהגת שרמוטה, נדחפת לכל מקום בכביש.",0
תודה לך על הכל,0
אני לא יכול לחכות לחופש,0
החתול ישן על הספה,0
היא רקדה יפה מאוד,0
שיהיה לך שבוע טוב,0
בהצלחה רבה!,0
כל הכבוד!,0
איזה ספר מעניין,0
אני צריך לקבוע תור לרופא,0
אתה מדבר שטויות,0
הוא שחקן כדורגל מצוין,0
בוא נצא לארוחת ערב,0
הייתי בסרט אתמול,0
העוגיות האלה ממש טעימות,0
אני אוהב את הצבע הכחול,0
המוזיקה רועשת מדי,0
אני לומד באוניברסיטה,0
הוא גר בבית גדול עם גינה,0
אני נוסע באוטובוס לעבודה,0
החולצה הזאת יפה עליך,0
אני מעדיף תה על פני קפה,0
הים היה רגוע היום,0
יש לי כלב חמוד,0
היא ציירת מוכשרת,0
אני עובד קשה כדי להצליח,0
הפארק מלא באנשים,0
אני רוצה ללמוד שפה חדשה,0
הוא טבח מעולה,0
אני אוהב לטייל בעולם,0
השכנים שלי נחמדים,0
הכנתי ארוחת ערב טעימה,0
אני רוצה לקנות רכב חדש,0
החופש הגדול מתקרב,0
אני מתגעגע לחברים שלי,0
היא אוהבת בעלי חיים,0
הוא איש עסקים מצליח,0
אני הולך לחתונה בסוף השבוע,0
היא סטודנטית לרפואה,0
אני אוהב את הקיץ,0
הוא סופר מפורסם,0
אני מתכנן מסיבת יום הולדת,0
היא מתנדבת בעמותה,0
אני אוהב אתגרים,0
הוא מורה טוב,0
אני רוצה להיות טייס,0
היא אוהבת לרקוד,0
אני חוסך כסף לטיול גדול,0
הוא מנגן בגיטרה,0
אני אוהב סרטי פעולה,0
היא רצה מרתון,0
אני אוהב את העבודה שלי,0
הוא בונה אתר אינטרנט,0
אני הולך להופעה הערב,0
היא לומדת פסיכולוגיה,0
אני אוהב לבשל,0
הוא עובד על פרויקט חשוב,0
אני מבקר את סבתא שלי,0
היא אוהבת לקרוא שירה,0
אני אוהב צמחים,0
הוא צלם מקצועי,0
אני מתאמן לקראת תחרות,0
היא אוהבת את הים,0
אני אוהב לצלם,0
הוא רוכב על אופניים,0
אני לומד נהיגה,0
היא שרה במקהלה,0
אני אוהב את השקט של הבוקר,0
הוא אוהב לטפס על הרים,0
אני מתנדב בבית חולים,0
היא מגדלת ירקות בגינה,0
אני אוהב ללכת יחף על הדשא,0
הוא מתקן את המכונית שלו,0
אני לומד שפת תכנות חדשה,0
היא מלמדת יוגה,0
אני אוהב לפתור תשבצים,0
הוא אוהב דגים,0
אני כותב ספר,0
היא אוהבת לטייל לבד,0
אני אוהב לשתות קפה שחור,0
הוא בונה מודלים של מטוסים,0
אני שומע פודקאסט מעניין,0
היא מתעניינת באסטרונומיה,0
אני אוהב את ריח הגשם,0
הוא לומד היסטוריה,0
אני מתכנן את הטיול הבא שלי,0
היא אוהבת אופנה,0
אני אוהב לשחק שחמט,0
הוא אוהב אתגרים מחשבתיים,0
אני משפץ את הדירה שלי,0
היא אוהבת ללכת לתיאטרון,0
אני אוהב את עונת הסתיו,0
הוא אוסף בולים,0
אני מנסה לאכול בריא יותר,0
היא אוהבת חתולים,0
אני אוהב לגלות מקומות חדשים,0
הוא עובד מהבית,0
אני מארגן את הארון שלי,0
היא לומדת עיצוב גרפי,0
אני אוהב ימי שמש,0
הוא אוהב מוזיקה קלאסית,0
אני צופה בסדרה חדשה,0
היא עושה מדיטציה כל בוקר,0
אני אוהב את השקט של הלילה,0
הוא לומד אדריכלות,0
אני מנסה ללמוד לנגן על פסנתר,0
היא אוהבת אמנות מודרנית,0
אני אוהב לטפל בגינה,0
הוא אוהב לרוץ בבוקר,0
אני מתכנן ארוחת ערב לחברים,0
היא אוהבת קומדיות רומנטיות,0
אני אוהב את הריח של לחם טרי,0
הוא לומד פילוסופיה,0
אני מנסה להיות אדם טוב יותר,0
היא אוהבת בעלי חיים אקזוטיים,0
אני אוהב את תחושת החופש,0
הוא אוהב לשחק במשחקי וידאו,0
אני מתכנן את העתיד שלי,0
היא אוהבת לבקר במוזיאונים,0
אני אוהב את החיים,0
הוא אדם מאוד אופטימי,0
אני נהנה מהדברים הקטנים,0
היא תמיד מחייכת,0
אני אוהב לעזור לאחרים,0
הוא חבר טוב,0
אני מעריך את מה שיש לי,0
היא השראה עבורי,0
אני מאמין בטוב לב של אנשים,0
הוא תמיד מוכן לעזור,0
אני מנסה ללמוד מטעויות,0
היא בעלת חוש הומור נהדר,0
אני אוהב את המשפחה שלי יותר מכל,0
הוא אדם ישר והגון,0
אני שמח בחלקי,0
היא יודעת להקשיב,0
אני אוהב אתגרים חדשים,0
הוא תמיד אומר את האמת,0
אני מנסה להיות סבלני,0
היא אישה חכמה מאוד,0
אני אוהב ללמוד דברים חדשים,0
הוא אבא נהדר,0
אני מודה על כל יום,0
היא חברה נאמנה,0
אני אוהב את השלווה,0
הוא יודע לתת עצה טובה,0
אני מנסה לשמור על חשיבה חיובית,0
היא אמא מדהימה,0
אני אוהב את הפשטות,0
הוא אח תומך,0
אני מנסה להיות הגרסה הטובה ביותר של עצמי,0
היא מודל לחיקוי,0
אני אוהב את הטבע,0
הוא תמיד שם בשבילי,0
אני מנסה להבין وجهות نظر שונות,0
היא יודעת לסלוח,0
אני אוהב את האביב,0
הוא אדם עם לב רחב,0
אני מנסה להיות יותר מאורגן,0
היא יודעת איך לעודד אותי,0
אני אוהב את הרגעים השקטים,0
הוא איש שיחה מרתק,0
אני מנסה להיות פחות שיפוטי,0
היא יודעת מה היא רוצה מהחיים,0
אני אוהב את ריח הקפה בבוקר,0
הוא אדם יצירתי,0
אני מנסה לחיות את הרגע,0
היא אוהבת את החיים,0
אני אוהב שקיעות,0
הוא יודע להצחיק אותי,0
אני מנסה להיות פעיל גופנית,0
היא יודעת לשמור על סוד,0
אני אוהב טיולים ארוכים,0
הוא תמיד נשאר רגוע,0
אני מנסה להיות יותר מודע לעצמי,0
היא מקור של כוח,0
אני אוהב את הבית שלי,0
הוא אדם צנוע,0
אני מנסה להיות יותר אסרטיבי,0
היא אופטימית לגבי העתיד,0
אני אוהב את הגשם,0
הוא מכבד כל אדם,0
אני מנסה להיות חבר טוב יותר,0
היא יודעת להעריך את הדברים הקטנים,0
אני אוהב את תחושת ההישג,0
הוא אדם חרוץ,0
אני מנסה להיות פתוח לרעיונות חדשים,0
היא יודעת איך ליהנות מהחיים,0
אני אוהב את השקט של הספרייה,0
הוא תמיד רואה את הצד החיובי,0
אני מנסה להיות פחות לחוץ,0
היא יודעת להתמודד עם קשיים,0
אני אוהב את התחושה של חול בין האצבעות,0
הוא יודע להודות על מה שיש לו,0
אני מנסה להיות יותר נוכח,0
היא יודעת להציב מטרות ולהשיג אותן,0
אני אוהב את החום של השמש,0
הוא תמיד מוצא פתרון,0
אני מנסה להיות מאושר,0
היא דוגמה ומופת,0
אני אוהב את הצליל של גלים,0
הוא יודע לקחת אחריות,0
אני מנסה להיות אדם שלם,0
היא יודעת ליצור אווירה טובה,0
אני אוהב את הצבע הירוק,0
הוא תמיד לומד ומתפתח,0
אני מנסה להיות הגון,0
היא יודעת לאהוב ללא תנאים,0
אני אוהב את החיים הפשוטים,0
הוא יודע לחלום בגדול,0
אני מנסה להיות נאמן לעצמי,0
היא תמיד נותנת מעצמה,0
אני אוהב את האנשים בחיי,0
הוא יודע להעניק השראה,0
אני מנסה להיות שלם עם עצמי,0
היא יודעת ליצור יופי,0
אני אוהב את הדרך שלי,0
הוא יודע להפוך את העולם למקום טוב יותר,0
אני מנסה לחיות חיים משמעותיים,0
היא האור בחיי,0
אני אוהב את מי שאני,0
הוא גיבור אמיתי,0
אני מנסה למצוא את האושר שלי,0
היא נשמה טובה,0
אני אוהב לחלום,0
הוא משנה את העולם,0
אני מנסה לעשות את הדבר הנכון,0
היא פשוט מדהימה,0
אני אוהב את החיים וכל מה שיש להם להציע,0
הוא אדם שאני מעריץ,0
אני מנסה להיות אמיץ,0
היא מתנה לעולם,0
אני אוהב את האנושות,0
הוא דוגמה אישית,0
אני מנסה להיות הכי טוב שאני יכול,0
היא אדם מיוחד במינו,0
אני אוהב את המסע,0
הוא אדם בעל ערכים,0
אני מנסה להשאיר חותם חיובי,0
היא יודעת להפוך כל יום לחגיגה,0
אני אוהב את עצמי,0
הוא אדם שאפשר לסמוך עליו,0
אני מנסה להיות מקור של טוב,0
היא יודעת להרים את מצב הרוח,0
אני אוהב את השחר,0
הוא חבר לחיים,0
אני מנסה להיות מודע לסביבה,0
היא תמיד תהיה שם בשבילך,0
אני אוהב את התרבות שלי,0
הוא יודע להקשיב ללב שלו,0
אני מנסה להיות אדם טוב יותר כל יום,0
היא פשוט בן אדם טוב,0
אני אוהב את הזריחה,0
הוא יודע למצוא את היופי בכל דבר,0
אני מנסה להיות מקור השראה,0
היא יודעת להודות,0
אני אוהב לראות אנשים מחייכים,0
הוא יודע לחגוג את החיים,0
אני מנסה לחיות בהרמוניה,0
היא יודעת להעריך את הרגע,0
אני אוהב את האנרגיה החיובית,0
הוא יודע מה חשוב באמת,0
אני מנסה לחיות בפשטות,0
היא יודעת להפיץ אהבה,0
אני אוהב את החיים שלי,0
הוא מודל לחיקוי עבור רבים,0
אני מנסה לעשות טוב בעולם,0
היא תמיד תומכת ועוזרת,0
אני אוהב להיות אופטימי,0
הוא יודע לכבד אחרים,0
אני מנסה ללמוד ולהתפתח כל הזמן,0
היא יודעת להפוך לימון ללימונדה,0
אני אוהב להיות מוקף באנשים טובים,0
הוא יודע להיות חבר אמיתי,0
אני מנסה להיות קשוב לצרכים של אחרים,0
היא יודעת להיות מאושרת,0
אני אוהב את החיים כפי שהם,0
הוא יודע להעריך אמנות,0
אני מנסה להיות יצירתי,0
היא יודעת לראות את הטוב בכל אדם,0
אני אוהב את השילוב של צבעים,0
הוא יודע להנות מהדברים הפשוטים,0
אני מנסה להיות מודע לנשימה שלי,0
היא יודעת לחיות את הרגע במלואו,0
אני אוהב את השקט שלפני הסערה,0
הוא יודע לתת בלי לצפות לתמורה,0
אני מנסה להיות מאוזן,0
היא יודעת לחלום ולהגשים,0
אני אוהב את ההרגשה של אחרי אימון,0
הוא יודע לשמור על פרופורציות,0
אני מנסה להיות רגוע ושליו,0
היא יודעת להיות אסירת תודה,0
אני אוהב את הסדר והניקיון,0
הוא יודע להיות מנהיג טוב,0
אני מנסה להיות אותנטי,0
היא יודעת להיות חזקה,0
אני אוהב את התחושה של שייכות,0
הוא יודע להתמודד עם אתגרים,0
אני מנסה להיות נוכח ברגע,0
היא יודעת להיות ספונטנית,0
אני אוהב את תחושת החמימות של הבית,0
הוא יודע לעבוד בצוות,0
אני מנסה להיות ממוקד במטרה,0
היא יודעת להיות חברה טובה,0
אני אוהב את ההרגשה של הצלחה,0
הוא יודע להיות אבא טוב,0
אני מנסה להיות סלחן,0
היא יודעת להיות אמא טובה,0
אני אוהב את תחושת הסיפוק,0
הוא יודע להיות בן זוג אוהב,0
אני מנסה להיות מבין,0
היא יודעת להיות בת זוג תומכת,0
אני אוהב את תחושת השחרור,0
הוא יודע להיות בן אדם,0
אני מנסה להיות חיובי,0
היא יודעת להיות אישה,0
אני אוהב את עצמי כמו שאני,0
הוא יודע להיות גבר,0
אני מנסה להיות הכי טוב שאפשר,0
היא יודעת להיות היא עצמה,0
אני אוהב את העולם,0
הוא יודע להיות הוא עצמו,0
אני מנסה לחיות חיים מלאים,0
היא יודעת לחיות,0
אני אוהב,0
הוא יודע לאהוב,0
יא בן זונה,1
יא חתיכת דביל,1
אתה חתיכת טיפש,1
יא חתיכת זונה,1
אני אפרק לך את הצורה,1
לכו תזדיינו כולכם,1
אפסים,1
חתיכת זבל מסריח,1
מטומטמת חסרת תקנה,1
יא מפגרת,1
הלוואי שתמותי כבר,1
בן ז נה,1
"יא שרמוטה, אף אחד לא רוצה אותך",1
כל הערסים אותו חרא,1
לך תעשה טובה לעולם ותתאבד,1
אני ארצח את כל המשפחה שלך,1
יא חתיכת אפס מאופס,1
הומו,1
איזה כוסית,1
אתה אפס,1
יא קוקסינל,1
אני אזיין אותך בתחת,1
מה אתה רוצה יא זין,1
לך תחפש מי יזיין אותך,1
זבל,1
שרלילה,1
כוס אחותך,1
כלבה מסריחה,1
יא חתיכת מניאק,1
אידיוט גמור,1
אני שונא את הפרצוף שלך,1
אתה חתיכת חלאה,1
אתה בושה למשפחה שלך,1
אני אשרוף לך את הבית,1
יא חתיכת בוגד,1
לסבית מסריחה,1
טפו עליך,1
אין לך זכות קיום,1
סתום ת פה יא בן זונה,1
אני אדאג שתצטער על היום שנולדת,1
אתה פשוט עלוב,1
אתה נראה כמו חרא,1
יא חתיכת בהמה,1
אתה צריך טיפול פסיכיאטרי דחוף,1
חתיכת מטומטם,1
כלומניק,1
העולם יהיה מקום טוב יותר בלעדיך,1
מפגר,1
אני אשבור לך את הרגליים,1
"אתה חתיכת אפס, תמיד היית ותמיד תהיה",1
שרמוטה זולה,1
יא חתיכת קנאי,1
לך תמות,1
דפוק בשכל,1
מוות לשמאלנים,1
אני אדרוס אותך,1
אתה כל כך מכוער,1
יא חתיכת שקרן,1
זונת רחוב,1
אתה לא שווה יריקה,1
יא חתיכת חסר חיים,1
אני אהפוך את החיים שלך לגיהנום,1
אתה סתם זבל,1
יא חתיכת צבוע,1
חלאת אדם,1
אני מקווה שתיחנק,1
אתה טעות של הטבע,1
יא חתיכת עלוב נפש,1
אני אגרום לך לבכות,1
אתה פשוט דוחה אותי,1
יא חתיכת פחדן,1
אני אתפוס אותך,1
אתה כל כך פתטי,1
יא חתיכת לוזר,1
אני שונא אנשים כמוך יותר מכל דבר אחר,1
אתה תשלם על זה ביוקר,1
יא חתיכת אגואיסט,1
אתה מגעיל,1
יא חתיכת חסר מוח,1
אני ארדוף אותך עד סוף העולם,1
אתה סתם אוויר,1
יא חתיכת טפיל,1
אני שונא אותך מהעומק של הנשמה שלי,1
אתה בדיחה מהלכת,1
יא חתיכת חרא קטן,1
הלוואי שיקרה לך משהו רע,1
אתה כל כך מעצבן,1
יא חתיכת בטלן,1
אני אעשה לך את המוות,1
אתה פשוט בזבוז של חמצן,1
יא חתיכת נמושה,1
אני שונא כל מילה שיוצאת לך מהפה,1
אתה תצטער על זה,1
יא חתיכת חסר תועלת,1
אתה פשוט נטל על החברה,1
יא חתיכת משועמם,1
אני אדאג שלא ישאר ממך כלום,1
אתה כל כך שקוף,1
יא חתיכת חסר כבוד,1
אני לא יכול לסבול אותך יותר,1
אתה צריך להתבייש בעצמך,1
יא חתיכת בכיין,1
עדיף שתשתוק,1
אתה אפס גמור,1
יא חתיכת מסכן,1
אני אראה לך מה זה,1
אתה כל כך צפוי,1
יא חתיכת חסר עמוד שדרה,1
הדעה שלך לא שווה כלום,1
אתה פשוט מיותר,1
יא חתיכת ילד כאפות,1
אני אגמור אותך,1
אתה כל כך חלש,1
יא חתיכת זבלון,1
אני מתעב אותך,1
אתה כל כך טיפש שזה כואב,1
יא חתיכת חנון,1
אני אשמיד אותך,1
אתה סתם מפריע,1
יא חתיכת חופר,1
אני מקלל את היום שנולדת,1
אתה כל כך עלוב,1
יא חתיכת חסר טקט,1
אני אטפל בך אישית,1
אתה כל כך שונא את עצמך שאתה מוציא את זה על אחרים,1
יא חתיכת בכיין מסריח,1
אני ארסק אותך,1
אתה כל כך קטן,1
יא חתיכת חסר ערך,1
אני מאחל לך חיים של סבל,1
אתה כל כך שקוף שרואים דרכך,1
יא חתיכת מתנשא,1
אני אגרום לך להתחרט על הרגע שהכרת אותי,1
אתה כל כך חסר חשיבות,1
יא חתיכת חרא מהלך,1
אני שונא את הקיום שלך,1
אתה כל כך משעמם,1
יא חתיכת חסר עתיד,1
אני אדאג שתסבול,1
אתה כל כך מיותר בעולם הזה,1
יא חתיכת חסר אישיות,1
אני אזרוק אותך לפח,1
אתה כל כך חסר חיים שאתה נטפל לאחרים,1
יא חתיכת זבל אנושי,1
אני אגרום לך לאכול את הלב,1
אתה כל כך פתטי שזה מעורר רחמים,1
יא חתיכת חסר שכל,1
אני אוריד אותך על הברכיים,1
אתה כל כך חסר מושג,1
"יא חתיכת אפס מאופס, לך תמצא חיים",1
אני אעשה ממך קציצות,1
אתה כל כך חסר טעם,1
יא חתיכת חסר יכולת,1
אני אדאג שתשלם על כל מה שעשית,1
